Ann‚e faits;Montant total;Date faits;Cat‚gorie;Langue;RŠglement;Infractions;Lieu
2020;58,00 ?;29-02-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;70.2.1.1ø;Avenue Tedesco 1, 1160 AUDERGHEM
2020;175,00 ?;01-03-20;Administrative;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;14;Avenue de la Houlette Bulle … verre, 1160 AUDERGHEM
2020;175,00 ?;01-03-20;Administrative;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;14õ1;Avenue de la Houlette Bulle … verre, 1160 AUDERGHEM
2020;58,00 ?;02-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.5;Clos des Pommiers Fleuris F22, 1160 AUDERGHEM
2020;58,00 ?;02-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;23.1.1ø;Rue Jacques Bassem F98, 1160 AUDERGHEM
2020;116,00 ?;02-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;24.al.1;Boulevard du Souverain 165, 1160 AUDERGHEM
2020;58,00 ?;02-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Place F‚lix Govaert F4, 1160 AUDERGHEM
2020;58,00 ?;02-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Rue Emile Idiers 2, 1160 AUDERGHEM
2020;58,00 ?;02-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Rue Emile Idiers 2, 1160 AUDERGHEM
2020;58,00 ?;02-03-20;Stationnement;N‚erlandais;AUDERGHEM-RGP;70.2.1.1ø;Waverse steenweg 1606, 1160 OUDERGEM
2020;116,00 ?;02-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1;Avenue Louis Clesse 1, 1160 AUDERGHEM
2020;116,00 ?;02-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;24.al.1;Avenue Henri Strauven 67, 1160 AUDERGHEM
2020;58,00 ?;02-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;24.al.1.7ø;Rue Edouard Henrard,  1160 AUDERGHEM
2020;58,00 ?;02-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;24.al.1.7ø;Avenue des Paradisiers,  1160 AUDERGHEM
2020;116,00 ?;02-03-20;Stationnement;N‚erlandais;AUDERGHEM-RGP;121;Daniel Boonlaan 2, 1160 AUDERGHEM
2020;58,00 ?;02-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;70.2.1.1ø;Chauss‚e de Wavre, 1381 1160 AUDERGHEM
2020;58,00 ?;02-03-20;Stationnement;N‚erlandais;AUDERGHEM-RGP;70.2.1.1ø;Emile Idiersstraat F1, 1160 OUDERGEM
2020;58,00 ?;02-03-20;Stationnement;N‚erlandais;AUDERGHEM-RGP;24.al.1.7ø;Josse Smetslaan 24, 1160 OUDERGEM
2020;58,00 ?;02-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;77.4;Avenue Henri Strauven 18, 1160 AUDERGHEM
2020;58,00 ?;02-03-20;Stationnement;N‚erlandais;AUDERGHEM-RGP;23.1.1ø;Tedescolaan 22, 1160 OUDERGEM
2020;58,00 ?;02-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Rue Jacques Bassem 19, 1160 AUDERGHEM
2020;58,00 ?;02-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;23.1.1ø;Rue Jacques Bassem 49, 1160 AUDERGHEM
2020;58,00 ?;02-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;23.1.1ø + 121;Avenue Guillaume Detroch 2, 1160 AUDERGHEM
2020;350,00 ?;02-03-20;Administrative;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;14;Rue des Trois Ponts Station Delta, 1160 AUDERGHEM
2020;58,00 ?;02-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;117;Avenue des Volontaires , 1160 AUDERGHEM
2020;58,00 ?;03-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Boulevard du Triomphe 52, 1160 AUDERGHEM
2020;58,00 ?;03-03-20;Stationnement;N‚erlandais;AUDERGHEM-RGP;23.1.1ø;Triomflaan 39, 1160 OUDERGEM
2020;58,00 ?;03-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;70.2.1.1ø;Avenue des Volontaires 1, 1160 AUDERGHEM
2020;116,00 ?;03-03-20;Stationnement;Fran‡ais;AUDERGHEM-RGP;24.al.1.4ø;Avenue Charles Madoux 2, 1160 AUDERGHEM
